CODE,CONTEXTO,SPRITES,ESPAÑOL,ENGLISH
A001,Texto de prueba,NULL,Hola Mundo,Hello World
A002,Texto de prueba con sprites,moveLeftBtn;moveRightBtn,Prueba sprites ? y ?,Sprites test ? and ?
A003,Texto de obtencion de objetos,NULL,Has obtenido [c_gray]? [c_green]x?,You got [c_gray]? [c_green] x?
A004,Texto de obtencion de rubies,NULL,Has obtenido [c_ruby]Rubies [c_green]x?,You got [c_ruby]Rubies [c_green] x?
A005,Texto de cofre vacio,NULL,Este cofre esta vacio,This chest is empty
A006,Letrero de movimiento en Habitacion 1,moveLeftBtn;moveRightBtn,Puedes moverte con ? y ?,You can move with ? and ?
A007,Letrero de escaleras en Habitacion 1,moveUpBtn;moveDownBtn,Usa las escaleras con ? y ?,Use ladders with ? and ?
A008,Letrero de salto en Habitacion 1,jumpBtn,Usa ? para [c_gray]Saltar[c_white],Use ? to [c_gray]Jump[c_white]
A009,Dialogo 01 de la Cinematica 01 en Habitacion 1,NULL,[c_blue]PETRONILA:[c_white] [shake]HEEEEEEEEEEEEEEEYYYYYYYY; YA ES HORAAA DE ENTRENAAAR[/shake],[c_blue]PETRONILA:[c_white] [shake]HEEEEEEEEEEEEEEEYYYYYYYY; ITS TIMEEE TO TRAAAAIN[/shake]
A010,Dialogo 02 de la Cinematica 01 en Habitacion 1,NULL,[c_red]RAY:[c_white] [shake]YA VOOOOYY[/shake],[c_red]RAY:[c_white] [shake]ON MY WAAAAAY[/shake]
A011,Letrero de bajar plataformas en Habitacion 2,moveDownBtn;jumpBtn,Puedes bajar de algunas plataformas usando ? + ?,You can go down some platforms using ? + ?
A012,Dialogo 01 de la Cinematica 02 en Habitacion 2,NULL,[c_blue]PETRONILA:[c_white] Vamos; el viejo nos esta esperando y ya sabes como es su paciencia.,[c_blue]PETRONILA:[c_white] Let's go; old man is waiting for us; and you know how impatient he is.
A013,Dialogo 02 de la Cinematica 02 en Habitacion 2,NULL,[c_red] RAY:[c_white] Si; si; ya voy,[c_red] RAY:[c_white] Okay; okay; I'm on my way
A014,Dialogo 03 de la Cinematica 02 en Habitacion 2,NULL,[c_blue]PETRONILA:[c_white] Rapido; sigueme,"[c_blue]PETRONILA:[c_white] Move it, follow me"
A015,Letrero de Dash en Habitacion 3,dashBtn,Puedes usar el [c_gray]Dash[c_white] con ? . Si saltas mientras lo usas llegaras mas lejos.,You can [c_gray]Dash[c_white] with ? . If you jump while using it you'll get a longer jump
A016,Letrero de Air Dash en Habitacion 3,NULL,Puedes usar el [c_gray]Dash[c_white] hasta 2 veces en el aire.,You can [c_gray]Dash[c_white] 2 times in the air
A017,Texto de indicacion para interactuar,interactBtn,? Interactuar,? Interact
A018,,,,
A019,Letrero de Wall Jump en Habitacion 4,jumpBtn,Puedes [c_gray]Saltar en la pared[c_white] pulsando ? cuando estes en el aire y tengas una pared en frente,You can [c_gray]Wall Jump[c_white] pressing ? while facing a wall in the air
A020,,,,
A021,,,,
A022,,,,
A023,,,,
